gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00362	CNAG_00362	249	0.039769	0.14008	0.97244
CNAG_00363	TCO6	689.33	0.17962	0.14046	0.77698
CNAG_00364	CNAG_00364	219.36	-0.14775	0.15268	0.8673
CNAG_00365	CNAG_00365	299.62	0.11454	0.13625	0.88778
CNAG_00366	CNAG_00366	15.857	0.07399	0.45502	0.98342
CNAG_00367	DYN5	119.04	-0.17112	0.20705	0.8923
CNAG_00368	CNAG_00368	124.3	-0.12225	0.20726	0.92656
CNAG_00369	CNAG_00369	269.73	-6.6204e-4	0.15152	0.99937
CNAG_00370	UBI1	5820.3	0.036273	0.14704	0.97485
CNAG_00371	CNAG_00371	39.591	0.081314	0.27778	0.97198
CNAG_00372	CNAG_00372	356.42	-0.16283	0.18932	0.88778
CNAG_00373	CNAG_00373	95.581	-0.12519	0.28723	0.95258
CNAG_00374	CNAG_00374	524.31	0.17995	0.19322	0.87407
CNAG_00375	GCN5	344.71	-0.07352	0.12471	0.92656
CNAG_00377	CNAG_00377	457.64	-0.30091	0.16711	0.60678
CNAG_00378	CNAG_00378	349.91	-0.34731	0.34452	0.8538
CNAG_00383	APT3	299.97	-0.22346	0.13348	0.64713
CNAG_00384	CNAG_00384	14.223	-0.55301	0.7618	0.90909
CNAG_00385	CNAG_00385	674.46	0.046729	0.16769	0.97244
CNAG_00386	CNAG_00386	890.04	0.088839	0.19775	0.95256
CNAG_00387	LPI13	300.23	-0.11824	0.11986	0.86002
CNAG_00388	CNAG_00388	594.25	-0.048184	0.10329	0.95167
CNAG_00389	CNAG_00389	255.71	0.069276	0.15469	0.95256
CNAG_00390	YMR1	87.393	0.024492	0.2218	0.99184
CNAG_00391	CNAG_00391	264.61	-0.16442	0.2231	0.90538
CNAG_00392	CNAG_00392	67.067	0.11258	0.2384	0.94995
CNAG_00393	CNAG_00393	632.92	-0.033159	0.51271	0.99571
CNAG_00394	CNAG_00394	1648.2	0.15913	0.18823	0.88778
CNAG_00395	CNAG_00395	248.8	0.14647	0.1459	0.85539
CNAG_00396	PKA1	272.44	-0.22731	0.13967	0.65973
CNAG_00397	CNAG_00397	167.5	-0.62782	0.47279	0.76146
CNAG_00398	CNAG_00398	450.41	-0.16378	0.14226	0.80739
CNAG_00399	CNAG_00399	666.58	-0.15163	0.16736	0.88074
CNAG_00400	CNAG_00400	581.13	-0.14258	0.19404	0.90677
CNAG_00401	CNAG_00401	216.21	0.10025	0.15586	0.91999
CNAG_00402	CNAG_00402	897.85	-0.12354	0.19387	0.91999
CNAG_00403	CNAG_00403	51.344	-0.4146	0.29748	0.73735
CNAG_00404	CNAG_00404	282.09	-0.21505	0.21761	0.85942
CNAG_00405	KIC1	152.59	-0.10037	0.17801	0.93214
CNAG_00406	CNAG_00406	78.185	-0.24205	0.19837	0.79114
CNAG_00407	CNAG_00407	1003.5	-1.116	0.20256	2.0373e-5
CNAG_00408	PPH3	1042.1	-0.012807	0.17996	0.99377
CNAG_00409	CNAG_00409	112.75	0.12942	0.25403	0.94032
CNAG_00410	CNAG_00410	395.25	-0.34026	0.11653	0.15931
CNAG_00411	CNAG_00411	323.01	-0.056789	0.13562	0.95621
CNAG_00413	OFD1	1166.4	0.27492	0.11612	0.39823
CNAG_00414	MAK32	95.275	0.090102	0.20896	0.95258
CNAG_00415	CDC2801	140.44	-0.043526	0.14669	0.9706
CNAG_00416	CNAG_00416	126.97	0.22746	0.16199	0.73283
CNAG_00417	CNAG_00417	3791.7	0.053794	0.10176	0.93717
CNAG_00418	CNAG_00418	2746.4	0.26653	0.12469	0.49562
CNAG_00419	CNAG_00419	245.63	-0.64726	0.59984	0.83128
CNAG_00420	CNAG_00420	209.51	0.090163	0.17005	0.93717
CNAG_00421	CNAG_00421	879.74	0.24321	0.13126	0.58322
CNAG_00422	CNAG_00422	235.34	-0.27241	0.14592	0.57926
CNAG_00423	CNAG_00423	61.277	0.074514	0.20144	0.96369
CNAG_00424	CNAG_00424	495.88	-0.14437	0.38527	0.96369
CNAG_00425	CNAG_00425	91.037	-0.15628	0.27376	0.92995
CNAG_00426	CNAG_00426	144.02	-0.35799	0.19086	0.57498
CNAG_00427	PTC5	403.96	0.086999	0.24069	0.96409
CNAG_00428	CNAG_00428	147.72	0.21963	0.1963	0.81627
CNAG_00429	CNAG_00429	299.56	0.23002	0.1485	0.68175
CNAG_00430	CNAG_00430	104	0.19684	0.15748	0.7847
CNAG_00433	CNAG_00433	141.47	0.28114	0.17754	0.67328
CNAG_00434	CNAG_00434	171.17	0.012056	0.15073	0.99376
CNAG_00435	CNAG_00435	152.12	0.17708	0.13474	0.76801
CNAG_00436	CNAG_00436	314.87	-0.11439	0.11504	0.85669
CNAG_00437	CNAG_00437	163.79	-0.089561	0.16561	0.93717
CNAG_00438	CNAG_00438	118.04	0.172	0.21416	0.89593
CNAG_00439	CNAG_00439	237.79	-0.13083	0.15599	0.88778
CNAG_00440	SSN801	109.11	-0.43013	0.21558	0.52848
CNAG_00441	IMD1	5843.3	0.30939	0.15917	0.54571
CNAG_00442	CNAG_00442	967.81	0.15091	0.16325	0.87683
CNAG_00443	CNAG_00443	70.377	0.27097	0.1661	0.65776
CNAG_00444	CNAG_00444	108.79	-0.13451	0.24076	0.93396
CNAG_00445	NHP6B01	1984.4	-0.037645	0.11219	0.96774
CNAG_00446	CNAG_00446	9.5839	-0.34641	0.42871	0.89593
CNAG_00447	CNAG_00447	1156.3	-0.17243	0.14002	0.7891
CNAG_00448	CNAG_00448	295.66	-0.10103	0.21064	0.94901
CNAG_00449	CNAG_00449	787.49	0.16057	0.12433	0.77406
CNAG_00450	LEU2	2117.2	0.34276	0.23903	0.71942
CNAG_00451	CNAG_00451	72.423	0.26747	0.2561	0.84138
CNAG_00452	CNAG_00452	73.154	0.19055	0.17931	0.83644
CNAG_00453	CNAG_00453	10662	0.69444	0.16501	0.0043578
CNAG_00454	CNAG_00454	130.47	0.9817	0.33805	0.16384
CNAG_00455	UBP16	814	-0.01588	0.19025	0.99376
CNAG_00456	ISP6	1120.1	-0.12889	0.18752	0.91264
CNAG_00457	GLN1	6559.8	0.16679	0.14527	0.80811
CNAG_00458	CNAG_00458	1087.2	0.12497	0.099945	0.7847
CNAG_00460	LIV1	209	0.13566	0.2665	0.94032
CNAG_00461	CNAG_00461	471.36	-0.25279	0.1817	0.73831
CNAG_00462	CNAG_00462	362.31	0.086901	0.13415	0.91974
CNAG_00463	CNAG_00463	15.191	-2.6041	1.2426	0.50504
CNAG_00464	CNAG_00464	686.6	0.1073	0.11039	0.86728
CNAG_00465	CNAG_00465	1659.5	0.044982	0.16929	0.97432
CNAG_00466	CNAG_00466	78.578	-0.91015	0.4214	0.48556
CNAG_00467	CNAG_00467	111.13	-0.068307	0.22411	0.96878
